pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
100605;ab09f60c;Los Palmera;Cuando el amor se daña;folk;Folklore;YEAR: 2001 ID3G: 115;2001;Cuando el amor se daña;Avisame;La chica de rojo;Dile a tu nuevo querer;Aquella cumbia;Fiebre de la noche;Si no regresas;Baila negrito cumbiero;Cuando aparezca el amor;Trigueñita mía;Cumbia, dile que la extraño;Prisionero de tu amor;;
100606;ab0a150c;Mariona Sagarra;Frec a Frec;folk;Folk;YEAR: 2000;2000;El Faroner del Cap de Creus;Verona;Canço de Suburbi;Institució de l'Ombra;El Record;Ja No Hi Ha Retorn;Cançó d'Amor;El Regal;Cap a les Deus;Frec a Frec;Vinyes Verdes;Lagrima;;
100607;ab0a2c0e;The Champions 1994;;folk;;;;Samen kunnen wij de wereld aan;Wij houden van Oranje;We are the Champions;Oranje bovenaan;Huilen is voor jou te laat;Alles (voetbal) kan een mens gulukkig maken;Hela hela holala;You never walk alone;Stars and stripers;Nederland die heeft de bal / medley;Feest feest, oranje viert feest;Och, wat is het toch fijn;Triompf mars medley;Wilhemus van Nassouwe
100608;ab0a310e;Dominguinhos;Chegando de Mansinho;folk;Folk;;;Puxa-puxa, rala coco;Xote puladinho;Plantio de amor;Preciso do teu sorriso;Santona Sentida;Forro do Sapateiro;A lavadeira;Chegando de mansinho;O cheiro puro deste chao;Lisbela;Seu Luis e Sao Joao;Pensando nela;To indo embora;Ze Pequeno, voce e grande
100609;ab0a3b0e;Marcel Dadi;best of Dadi;folk;Folk;YEAR: 1989 ID3G:  80;1989;les scénaristes;prelude to the rain;just a little water;turkish delight;blue angel;whispering;words of silence;dimanche après-midi;écho sixties;the girl friend of the whirling devish;kicky;gravy waltz;marcel samba;buddy's dance
100610;ab0a470d;Talleys;Life story;folk;Gospel;;;When anyone looks at me;I'm gonna stand;Prologue: tell me story;He loved us more;Greater is he that is in me;I'm free;He didn't leave me;Praise you;Part of the family;Just do it;Because someone prayed;Epilogue: Amazing grace;This is my story;
100611;ab0a730c;Acanto;Segnali di fumo;folk;Soul;;;Canto nomade;Pappend'arena;Venti del fato;Nebbia di pensierei;Segnali di fumo;Pagine nuove;Graffiti;Camera d'albergo;Asutt'e su uli;La chimera;Terra senza età;Maimone Ilau;;
100612;ab0a910c;Dervish;Harmony Hill;folk;Folk;ID3G:  80;;Apples in Winter;Hills of Greenmore;The Green Fields of Miltown;Bellaghy Fair;The Ploughman;The Green Mountain;Welcome Poor Paddy Home;Jig C Jig;The Fair Maid;Virginia Set;A Stor Mo Chroi;Slides & Reels;;
100614;ab0aa80d;Geantrai;The Music Makers;folk;;;;The Ballydesmond No.2, Neilli - Polkas;St. Mary's Abbey - Melody;An Mhaighdean Mhara - Vocal;Jig of Slurs, Langstram's Pony - Jigs;An Chuilfhionn - Slow Air;Jean's Reel, The Dunmore Lasses - Reels;Bim-se i gconai 'Randaireacht - Vocal;Inis Oirr_Inishere - Melody;The Seneka Square Dance, Waiting For The Federals, The Gypsy Princess -;BarnDances;The May Morning Dew - Song;Tamlin - Reel;Gol na mBan san Ar - Elegy;The Hare in the Corn, Jazzing with Mag Leary - Slides
100615;ab0ace0d;Boogart;Vänner för livet;folk;;;;Stannar tiden för din skull;Som i en dröm;Det största;Vänner för livet;Hennes kyssar;Högt i det blå;Du som fick mig att leva;Drömmar är för dårar;Kanske på en regnig dag;Här dansar jag;MItt hjärta slutar slå;Bara himlen kan ge;Samma historia;
100616;ab0af60e;Various;Ons Eie - Musiek vir altyd;folk;Afrikaans;Decibel Musiek Compilation;1997;Anneli van Rooyen / Nou of nooit;Johan Stemmet / My plekkie op aarde;Rina Hugo / Ek sien vandag die son weer skyn;Philip Moolman / Hoog bo die wolke;Sarina / Ek dink soveel aan jou;Ge Korsten / Santa Fe;Carike Keuzenkamp / As die Suidoos gaan lê;Andre Schwartz / Jou Alleen;Arina de Witt / Voorbegin;Chris le Roux / Anina;Riaan / Rots van Dae;Yoti / Speel Bouzouki;Bill Flynn / Duiwel van Wyk;Johan van Rensburg / Sondaarspoort
100617;ab0b0b0b;Various;Balkanija - Miracolo;folk;Ethnic;Balkanic Music;2002;Prokleta Je Amerika;Mora Mandolino;Vranje;Mujo Ferra Il Suo Cavallo;Il Vagabondo;Sta Ce Mi Zivot;Ciao Manu;Perica Kolo;Lele Soko Pija;Ultimo Walzer D'Amore;Kraj Potoka;;;
100618;ab0b110e;Osvaldo Pugliese;Maestro Del Tango;folk;Tango;YEAR: 1996 ID3G: 113;1996;Osvaldo Pugliese - Instrumental / Inspiración;Osvaldo Pugliese - Instrumental / Taconeando;Osvaldo Pugliese - Instrumental / Lorenzo;Osvaldo Pugliese - Instrumental / Adiós Nonino;Osvaldo Pugliese - Instrumental / Don Agustín Bardi;Osvaldo Pugliese - Instrumental / Nostálgico;Osvaldo Pugliese - Instrumental / Didi;Osvaldo Pugliese - Instrumental / Zorro Gris;Osvaldo Pugliese - Instrumental / A Orlando Goñi;Osvaldo Pugliese - Instrumental / La Payanca;Osvaldo Pugliese - Instrumental / Verano Porteño;Osvaldo Pugliese - Instrumental / Charamusca;Osvaldo Pugliese - Instrumental / Marejada;Osvaldo Pugliese - Instrumental / La Cabrera
100619;ab0b430d;Folk Scat;Folk Scat;folk;;;;Ianinku;Repne, Kalinke;Vliazla e Donka;Für Elise;Koledarska Pesen;Vezala Rada;Chompilche;Bre Petrunko;Rachenitsa;You are lovely, my forest;Demianenka;Razvedrila se e planina;Orisnitsi;
100620;9c0b590c,ab0b590c;Josè Feliciano;Best Of -(CD1);folk;;Saar Records-2000;;Che Sara;The Last Time;Daniel;Hi-heel Sneakers;(Theme From) Chico And The Man;Mule Skinner Blues;La Entrada De Bilbao;Y Volvere;Angela;Time After Time;Jealous Guy;Pegao;;
100621;ab0b8d0d;Wolter Kroes;Niemand Anders;folk;Folk;;2002;Jij bent alles voor mij;Ik heb de hele nacht liggen dromen;Niemand anders;We gaan naar de kermis;Ik ben je prooi;Gedachten aan opa;Ik blijf voor altijd bij je;Lekker in mijn vel;Het kan niet over zijn;Voor nu en altijd;Waarom jij wegging;En weer;Kleine lieveling;
100623;ab0be90d;Peggy Watson;A Thousand Wishes;folk;;;;Dance Like That;Somebody Hold Me;I Can't Wait;Little Desert Town;San Dollar Beach;Rescue Me;Fire's Still Burning;Are You Listening;Never Tell Another Lie;Somebody Raised You Right;You Are Part of Me;The Sweetest Things in Life;Beyond the Storm;
100624;ab0c0b0c;Gospel Joy;Higher and Higher;folk;Gospel;YEAR: 2001;2001;But i still Haven't found;Amazing Grace;Lord help me to hold out;Higher and Higher;All for Love;Love can build a bridge;Walking in Memphis;John the Relevator;I've got to sing my song;Joy;The Lord is my Shepherd;Imagine;;
100625;ab0c3d0d;Lindsay and Gowan;Thoughts and Stories;folk;;;;I Realize;Lover Take Care Of My Heart;Cool and Clear;Barbra Says;Poossibly Perfect;The Cowboy;Whiskey -n- Dream;Do You Want To Love Me;Sweet Country;Babbalin' Man;What Color is the Rain;Angela;Troy's Song;
100626;ab0c7f0d;Saddleback Church;One Nation Under God;folk;;;;The Pledge Of Allegiance (spoken);The Battle Hymn of the Republic;Star Spangled Banner;America's Forgotten Son/America The Beautiful;America;A Mighty Fortress Is Our God;Calling Out To You;White Ribbon Day;Beneath The Badge;God Bless The USA;My Country 'Tis Of Thee;This Land Is Your Land/God Bless America;Catch The Spirit;
100627;ab0c810d;The Pentangle;Basket Of Light;folk;Folk;Castle Music CMRCD207 2001;;Light Flight;Once I Had A Sweetheart;Springtime Promises;Lyke-Wake Dirge;Train Song;Hunting Song;Sally Go Round The Roses;The Cuckoo;House Carpenter;Sally Go Round The Roses (alternate version);Sally Go Round The Roses (alternate version);Cloud Mountain;I Saw An Angel;
100628;ab0cbe0d;John Mayer;John Mayer;folk;Pop;;2001;No Such Thing;Why Georgia;My Stupid Mouth;Your Body is a Wonderland;Neon;City Love;83 8 3x5;Love Song for No One;Back to You;Great Indoors;Not Myself;Untitled;St. Patrick's Day;
100629;ab0ce20e;Stéphane Durand;Cosmic Drone;folk;Folk-Rock;YEAR: 2003;2003;Afficionados;Orokhan;Califat;Cosmic Drone;Drive Left;Les Frégates;Corpus;La Belle Etoile;St Denis en Valse;L'Arrogante;L'Arrogante ( Mix );Hydromel;Braséro;Fabuliste
100630;ab0d140c;Meiway;extraterrestre;folk;;;;Meiway - Extraterrestre;Meiway - Makoh;Meiway - Babayere;Meiway - Le Gbouniac;Meiway - Fred Et Jo;Meiway - Katharina;Meiway - A Genoux;Meiway - Ma Maman;Meiway - Je Suis Gueri;Meiway - Adjale;Meiway - P.C.A.;Meiway - Le Dernier Siecle;;
100631;ab0d150d;The Irish Brigade;Better Late Than Never;folk;;;;Natives;Jigs;Rose Marie;Barleycorn and Rell Tarbolton;Boston Rose;Lonesome Boatman;Westmeath Bachelor;Black is the Colour;Reels, Pigeon on the Gate Selection;The Voyage;Boolevogue and Reels;Freemantle Bay;Home Away From Home;
100632;ab0d670e;Seelyhoo;leetera;folk;Celtic;;1998;na spioradan briste, grace brechin;hoy high, hoy low;bidh clann ulaidh;the marquis of huntly's farewell, ashey's strathspey, kathryn;brechin;cait na dh'fhag thu'n fhichead gini?;ghiulain sinn;torpedo supper, billy & mackay, the brides cog;dheanainn sugradh ris an nighinn duibh, haggis fondue;tor breac;tir nan og;cheese peace, the slip'in;restoration day;aj's, the nippy sweet, the custard pie gang
100633;ab0da80c;The Iron Horse;Demons & Lovers;folk;Folk/Rock;;1997;Auchindoon;Anathea;The Luthier;The Traveller;Caleo;Glazgo;Faith Healer;The Elphin Knight;The Demon Lover;The Steampacket;Park No. 1;The Sleeping Warrior;;
100634;ab0dbb0c;Carlos Núñez;Os amores libres;folk;Folk;;;Jigs and Bulls;Os Amores Libres;Muiñeiras da Sorte;María Soliña;A Orillas del Rio Sil;Alma Barca;O Cabalo Azul;The Raggle Taggle Gipsy;Danza da Lúa en Santiago;A Lavandeira da Noite;Viva la Quinta Brigada;O Castro da Moura ( Etnodance );;
100636;ab0e550d;Kim Carnes;CAFE RACERS;folk;Folk-Rock;;2001;You make my heart beat faster;Young love;Met you at the wrong time in my life;Hurricane;Universal song;Invisible hands;I pretend;Hangin' on by a thread (a said affair of the heart);Kick in the heart;I'll be here were the heart is;You make my heart beat faster (extended version);Hurricane (extended vocal version);Invitation to dance (vocal dance mix);
100637;ab0ef40f;VARIOUS ARTISTS;GOCE FEST 2001;folk;------------------ MKD NARODNA ------------------;;2001;01 - PETRANKA KOSTADINOVA - MAJKA;02 - KRUME SPASOVSKI - EJ MOGILA;03 - BLAGICA PAVLOVSKA - CEDO SUM NA ZEMJA;"04 - GRUPA \KITKA\"" - NASA MILA MAJKA""";05 - JASMINA GUNJOVA - SVETI NAUM OHRIDSKI;06 - ORCE STEVKOVSKI - DO KOGA BRAKA KE SE DELIME;07 - GOCE ARNAUDOV - RISTOMAN VOJVODA POPCEVSKI;08 - MARGICA ANTEVSKA - LULKO NA ZORATA;"09 - NINO I GRUPA \DESPINA\"" - KE SE VRATAM""";10 - DUET RENATA I PEPI - PISMO MAKEDONSKO;11 - VANGEL SURBEVSKI - DESPINO MOME;12 - SLAVICA STEVKOVSKA - DA NEMA GRANICI;13 - MISKO KRSTEVSKI - SVETA ZEMJO;14 - SEKULA PUPINOVSKI - NASA VERBA
100638;ab10000d;Eliza Carthy;The Definitive Collection;folk;Folk;YEAR: 2003 ID3G: 80;2003;The Light Dragoon;Greenwood Laddie;Mother go make my bed;Cold Wet & Rainy Night;Fisher Boy;Billy Boy/The Widows Wedding;French Stroller;Stumbling On;Blow the Winds/The Game Of Draughts;Mons Meg;Diego's Bold SHore;Go From My Window;Child Among The Weeds;
100639;ab104c0c;Diary of Dreams;Freak Perfume;folk;Gothic;;;Traum:A;the Curse;O'Brother Sleep;Chrysalis;Traumtänzer;Rebellion;Bastard;Amok;She;Verdict;Play God!;She and her darkness;;
100640;ab10ac0d;Nadau;Nadau en companhia - Zenith de Pau 96;folk;Occitan - Bearnes;YEAR: 1996;1996;Rondèu Celinda;Pengabelòt;Un dia dab Pepé;Lo casau de Josefina;Saussat;La hèsta;Be n'èi ua gran tristessa;Simon;Cant d'alegria;Nadau tà Baptista;T'on vas ?;De cap tà l'immortèla;Caterineta;
100641;ab11720c;Anelise Knudsen;Ballade 1;folk;Folk;YEAR: 2002 ID3G: 80;2002;Anelise Knudsen - Juleballaden;Anelise Knudsen - Palle til barsel;Anelise Knudsen - Elverskud;Anelise Knudsen - Havfruens spådom;Anelise Knudsen - Stalt Elins hævn;Anelise Knudsen - Mandevalg;Anelise Knudsen - Ravnen;Anelise Knudsen - Dronning Dagmar;Anelise Knudsen - Høstpigen;Anelise Knudsen - Stedfaderen;Anelise Knudsen - Bispens deje;Anelise Knudsen - Ebbe Skammelsen;;
100642;ab120c20;Flatt & Scruggs;Flatt & Scruggs 1959 - 1963 Volume 5;folk;;;;Salty Dog Blues;Durham's Reel;Down The Road;Rainbow;Big Ball In Brooklyn;Flint Hill Special;Dig A Hole In The Meadow;I Hung My Head And Cried;Hot Corn, Cold Corn;Little Darlin' Pal of Mine;You Can't Stop Me From Dreaming;Footprints In The Snow;The Martha White Theme;I Wonder Where You Are Tonight
100643;ab12460b;Officina Zoe';Sangue Vivo;folk;Pop-Folk;YEAR: 2000 ID3G: 53;2000;Don Pizzica;Ijentu;Nifta Maiu;Filia;Sale;Mamma la Luna;L'America;Macaria;Riu;Ttuppi Ttuppi;Data Track;;;
100644;ac07860c;Various Artists;Polka treffen mit der Steirischen Harmonika;folk;Folk;;;Flinke Finger - Familie Laimer;Tiroler Lieder, Tiroler Klänge - Zillertaler Alpenflitzer;Sportler Polka - D' Neuneralm Musi;So Eine Feier - Die Lustigen Holzknecht;Mir Drei Kearn Zamm - Original Schlossbach Baum;Der Pfad vom Triglav - Ensemble Franc Mihelic;Ich Geh' So Gerne Aus - Zillertaler Schürzen jäger;Almfest - Die Stoamandln;Wenn Wir Drei Jodeln - 3 Nachtfalter;Wir Sind Die Herzensbrecher - Tiroler Herzensbrecher;Flotte Harmonika - Die Zellberg Buam;Freude Fürs Leben - Original Burggräfler Trio mit Emil;;
100645;ac07c50c;Big Timber Bluegrass;The Best of Bluegrass;folk;Folk;;;Tall Timber;Our Last Goodbye;Lonely River;What About You;Old Old House;Stormy Horizons;Chubby's Ride;Home in Old Tennessee;Huskie's Fiddle;This Morning at Nine;Nobody's Love Is Like Mine;Foolish Heart;;
100646;ac07fa0d;Margo Hennebach;Comfort and Joy;folk;Folk;With Mark Saunders;1998;God Rest You Merry;How Far Is It To Bethlehem;We Three Kings;Joy To the World;Rocking;Away in a Manger;Irish Medley;Little Drummer Boy;Mary Had a Baby;The Calling;I Wonder As I Wander;I Saw Three Ships;Hold Me Close;
100647;ac08240c;Peter, Paul & Mary;(Moving);folk;Folk;;1963;Settle Down (Goin' Down That Highway);Gone The Rainbow;Flora;Pretty Mary;Puff, The Magic Dragon;This Land Is Your Land;Man Come Into Egypt;Old Coat;Tiny Sparrow;Big Boat;Morning Train;A'Soalin';;
100648;ac08340c;Varios;Parranda Vallenata;folk;Folklore;;;La burrita de Eliseo, Corraleros Mesa;El testamento, Bovea;Paloma garumera, Corraleros Gutiérrez;La prima, Juancho Polo;Morenita, Armando Hernández;El villanuevero, Bovea Fernández;Festival de Guararé, Corraleros Gutiérrez;Charanga campesina, Calixto Ochoa;Cero treinta y nueve, Alejo Durán;El cantor de Fonseca, Luis E. Martínez;El viejo Migue, Lisandro Mesa;El ron de vinola, Guillermo Buitrago;;
100649;ac08610c;Herschel Sizemore;Back in Business;folk;Bluegrass;;1993;Your Love is Like A Flower;Uncle Charlie;I've Lost You;Grey Eagle;Roanoke;Alone and Broken Hearted;Ain't Nobody Gonna Miss Me;Tacoma;Daybreak In Dixie;Someday When You're Lonely;Rebecca;Cincinnati Rag;;
100650;ac08840c;Austria 7;A biss'l mehr...;folk;;;;Emanzenpolka;In Rio de Janeiro;Die wunderschöne Monika;Mir ham ja alle unser Idealgewicht;Alles Lari, Lari, Fari;Alpenmelodie;Bei Dir möcht' ich so gern Columbus sein;Musikantenfreunde;Ganz bestimmt wenn der Sommer kommt;Schurli-Polka;In den Straßen von Puerto;Die Blumen wieder blüh'n;;
100651;ac08a20d;Le Mystère Des Voix Bulgares;Le Mystère Des Voix Bulgares Vol. 1;folk;;;;Pilentze Pee;Svatba;Kalimankou Denkou;Strati Na Angelaki Doumasche;Polegnala Pschenitza;Messetschinko Lio Greilivko;Brei Yvane;Erghen Diado;Sableyalo Mi Agontze;Pritouri Ce Planinata;Mir Stanke Le;Schopska Pesen;Polegnala E Todora;
100652;ac08bb0e;Tres Sudamericanos (Los);Todos los Exitos;folk;;;2001;Cartagenera;La felicidad;Corazón contento;Me lo dijo Perez;Cuando salí de cuba;El Orangután;Guantanamera;La pollera colorá;La chevecha;La luna ya está en el bote;Pulpa de Tamarindo;Lunita barranquillera;Gibraltareña;Gracias España
100653;ac08cc20;Sing & Learn vol1;;folk;Folk;;;The Song of ABC;Speak : The Song of ABC;One,Two, three, Four, five;Speak : One,Two, three, Four, five;Farm song;Speak Farm song;Colour Song;Speak Colour Song;Head Shoulders Knees Toes;Speak Head Shoulders Knees Toes;The Animals went in two by two;Speak The Animals went in two by two;Supermarket Song;Speak Supermarket Song
100654;ac092b0c;Kjarkas;Kutimuy (Vuelve);folk;Folk;;;Kutimuy (Vuelve);Killa Wañuy (Muerte De La Luna);Tata Inti (Padre Sol);Camino  A La Montaña;Manuel Triste;Fantasia;Renacer A La Vida;Debajo De La Enramada;Antawara;Tinku;Inti Ñan (Camino Al Sol);Burro Villanciquero;;
100655;ac09340e;Various Artists;The Balkans - Yugoslavia - Hungary - Rumania;folk;Folklore;;;Ancino Kolo Dance;Life Is Beautiful;People Like Sota;Taste Of Srecno;Girl Of The Mountain;Puszta Fire;Back To Hungaria;Balkan Pictures;Hora Of Rumania;People Of Rumania I;People Of Rumania II;People Of Rumania III;People Of Rumania IV;Devil's Hora
100656;ac09480f;German Hofmann;Ochsenfurter Musikantenherz;folk;;;;Barbarossa-Marsch;Der Pappa und die Mama san immer für Di da;Klarinettenmuckel;Merci Mausi;Kauzenpolka;Das wahre Glück ist meistens klein;Fröhlicher Musikanten-Express;Jetzt geht's los - L-O-S Hey, Hey !;Trompeten-Pfeffer;Holladaratata - Wer ko, der ko !;O Daddy, Oh;"Hey Ba-ba-ri-ba \Jetzt geht die Gaudi los\""""";Lady Lilli;Mir san mir - Ohne Kies und ohne Moos
100657;ac094f0c;Mama La Terre;La Vie En Rose;folk;;;;Mama La Terre;Samba Tequere;Bon Bon;Priejatjel;Msealé;Orange Blossom;The Dentist;Harika;Sarajeka;The Devil;After All;Reasons;;
100658;ac096c0c;Egge, Ana;Mile Marker;folk;Folk;YEAR: 1999;1999;Mind Over Matter;Mile Marker;Waitress;Ain't Life a Brook;Fierro;Lebanon, T.N.;Empty Hands;Bless Me Mother;Dakota;Dearly Deported;I Am Illegal;Edelweiss;;
100659;ac098a0e;Shu-bi-dua;Shu-bi-dua 14;folk;Pop-Folk;ID3G: 53;1993;Halløjsa;Sko & Støvler;Pigen på Sandbjerggård;Telefon;Bamsefar;En mærkelig hoste;Fodkoldt;Danske sild;Børsmæglerkoret;Pippe T'n anden (Skidefugl på rulleskøjter);Lavprisparadis;Nød lærer nøgen kvinde at kende;Vi' Shu-bi-dua;Ballade på Fuckingham
100660;ac09990e;Lechner Buam;Das so was gibt;folk;Volksmusik;;;Schloßgold-Polka;Na guat dann net;Wer hat´s denn net schon ausprobiert;Lechner Schwung;Zum Glück gibt´s Dich für mich;Bariton Spaziergang;Was i Dir wünsch;Kreuzfahrt Polka;Das so was gibt;Ein Fest für Fröhlichkeit;Ein Fest für Fröhlichkeit;Lustige Finger;Herbie Rapp;Auf Oberkrainerklang steh i
100661;ac09cd0e;Wendy Leigh;Harp & Piano Solos (1999);folk;Celtic;YEAR: 1999;1999;Star Of The County Down - Traditional Irish;Greensleeves - Traditional Irish;The Parting Glass - Traditional Irish;Sally Gardens - Traditional Irish;Hither, My Love;Hushabye;Almost Home;Serenade;She's Alright;Billy's Song;Dave's Lullabye;Momis Music Box;Turn To Stone;The Road
100662;ac09e30c;Ann Reed;Timing Is Everything;folk;Folk;;;Love Like This;I Write A Letter;Martha;The Dark, The Outhouse...;Can't Sleep;Eye-Wuh;U.S. Ranger;Power Tools;No Parking;I Will Be There For You;Say Goodbye;Watching Over You;;
100663;ac0a070d;Basia Frydman;A fremde in der nacht;folk;;;;Dir a waltz;Dejm man ich lib;Maj harts gehrt trum tatn;Zimmertejg;Libe tants mich tsu dem sof;Fremden in der nacht;Stockholm;Ich loz dir nisht gejn;Di tsajt fargajt;Oj Värmeland du shejne;Suzanne di meshigene;Majn vejg;Es reignt un ich zing;
100664;ac0a100d;Lena Teigen;Lena II;folk;;;;Why Did It Have To Be Me;Togehter;Trollmåne;Have You Ever Seen The Rain;My Boy Lollypop;Mehanken;Sea Of Heartbrek;Engler I Sneen;Stein Gærn;Distance;Lyckliga Gatan;Mazurka Kari;Vårsol;
100665;ac0a140d;Varios Artistas;Antología De La Navidad Canaria;folk;Villancicos;;2000;Una Sobre El Mismo Mar;Lo Divino;Navidad Guanche;Ven Conmigo Pastorcito;Tajaraste Del Niño;Arrorro Navideño;El Burrro De Orejas Largas;Desde Los Cielos;Hoy En Nuestra Tierra;El Burrito Manuel;Isa De Navidad;Ha Nacido Un Niño;Rancho De Navidad De Teguise;
100666;ac0a3d0d;David Francey;Skating Rink;folk;;;;skating rink;broken glass;exit;come rain or come shine;midway;belgrade train;streets of calgary;evening news;grim cathedral;annie's house;valley's edge;nearly midnight;a winter song;
100667;ac0a6e0b;Terje Tysland;Hurra For M;folk;;;;Arti Borti Der;Sk l For En Deilig Dag;Fly Med Alle Vindan;Param Param Pampam;Led M  Frem;Der Jabbe Alle Om;Lille Lise;Penaste Jenta;Liten Som M;Greit   G  P  Tryne;Hurra For M;;;
100668;ac0a710d;Schrammel & Slide;Ja ja;folk;;A modern Guide to world music;;Tumbler Swing;Santa Anna;Frühstücksduft;Ja Ja;Bela's Knopf;Polkadax;Glass;New Orleans;Liabes Grüass;Out of Spock;Heartbreak Hotel;Pure Freude;Kaffeehaus;
100669;ac0a8b0c;Horst Chmela;Stolpern därfst ....;folk;Folklore;;;Wie narrisch;Wir sind ausgeliefert;Puppi. i mog di nimmer;Wenn i zum Bach abi geh';Mei klaner Teifi;Hunderl im Stroh;Anni, liebe Anni;Dem Nachbar sein Madel;Stolpern därfst;Sei doch lieber lieb zu mir;Tepperter Bua;Alle meine Busserln;;
100670;ac0a950c;Lo mejor de Confluencia;Confluencia;folk;Ballad;;1997;Ernesto Lecuona / Malaguena;Ernesto Lecuona / Siboney;E. Martin - W. Dominguez / Aguas profundas;Ernesto Lecuona / Andalucia;Gardel - Le Pera / El dia que me quieras;Ernesto Lecuona / La chancletera;E. Martin - W. Dominguez / Improvisando caminos;Ernesto Lecuona / Damisela encantadora;Joseito Fernandez / Guantanamera;Eliseo Grenet / Ay! Mama Ines;Ernesto Lecuona / Siempre en mi corazon;Ernesto Lecuona / Lamento africano;;
100671;ac0a9d0d;The Gaels;Rince;folk;Celtic;YEAR: 1998;1998;Farewell To Erin/Dinky's;The Fall Jig/What Would You Do?/The Kesh Jig;Chester City/Julia Delaney;Rakish Paddy/Paddy's Rake;The Dogs Among The Bushes;Greensleeves;The Glass of Beer/Pidgeon On The Gate;The Red-Haired Boy/The Roving Journeyman;Scattery Island/Lad O'Beirn's/The Tar Road To Siilgo;Play Patrick Play;Munster Buttermilk/Vincent Campbell's/Collier's Reel;Molly Brannigan/The Morning Star/Mouth Of The Tobique;Rince Briotanach;
100672;ac0aa20c;Vai-Vai;Sambas de Enredo (CD 1: 1978 a 1989);folk;Samba;;2001;Na Arca de Noel Rosa;Festa do Povo, em Festas e Fantasias;Vai-Vai Orgulho da Saracura;Acredite se Quiser;Orum-Aye - O Eterno Amanhecer;E Se a Moda Pega;Ao Sol da Onça Caetana;various / Água de Cheiro;various / Do Jeito Que a Gente Gosta;various / Volta ao Mundo em 80 Minutos;various / Amado Jorge - A História de Uma Raça Brasileira;various / Escreveu Não Leu, O Palco é Meu;;
100673;ac0adc0c;Moving Cloud;Cuckanandy;folk;;;;Raggle-Taggle Gypsy - Within a Mile from Dublin (Song & Reel);Cape Clear - Castlekelly - Man of Aran (Slow Air & Reels);Maid of Coolmore (Song);Gallagher's Frolics - Mist Covered Mountain - Humours of Whiskey (Double Jigs & Slip-Jig);The Bonny Ship The Diamond - Ril Gan ainm (Song & Reel);My Darling's Asleep - Killavil Jig - Miltown Jig - Kilfenora Jig (Double Jigs);Cavan Girl (Song);The Rocky Road to Dublin - The butterfly (Song & Slip Jig);Kerry Polka 1 - Kerry Polka 2 - Bill Sullivan's (Polkas);Love and Freedom - O'Dwyer's No. 1 (Song & Reel);Dirty Old Town (Song);Bird in the Bush - Bank of Ireland - Virginia Reel (Reels);;
100674;ac0ae70e;Florie Brown;Best of Irish fiddle tunes;folk;;;;"Garrai na bhFeileoig; The hunters purse; June apple; Silver spire";"Hymours of Ennistymon; Monaghan Jig";Once I loved;"Merrily kiss the Quaker; Morning dew; Loch Earn reel";"Galway hornpipe; Eugene Stratton";Idir Deighric 'Gus Breo';Tiarna Randal;"Kitchen girl; Gravel walk";"Headed for home; Tune for a found harmonium";Fair haired girl;"O'Dowds; Master Crowleys; Dogs among the bushes; Tie the bonnet";"The girl that broke my heart; Cooley's reel";"Blast of wind; Hills of Ireland";Mist on the Highlands
100675;ac0b370d;Mexicanto;En el Camino;folk;Folk;;;Hola bienvenidos;Agua de mar;Amor;La calidez de mi hogar;Los sueños;Solo pretendo;Los ojos de la selva;Es tuya la canción;Nueva oportunidad;Robando luz al sol;Hoy ten miedo de mi;Ella lo mira y se va;En el camino;
100676;ac0b6d0c;El Houssaine Kili;Safran;folk;Ethnic;YEAR: 2000 ID3G: 48;2000;Inshallah;Maria;Gnawa;Aulidi;Andalusia;Safina;Sbab (People of the world);Arissala (Song to the mother);Bani adam;Wahdaniya;Aisha;Baniya;;
100677;ac0b710c;Toquinho;Instrumental;folk;;;;Asa Branca;Caro Raul;Misturando idiomas;Tarde em Itapoa;Regra Tres;O vento;Choro chorado pra Paulinho Nogueira;hotel de la Ville;Berimbau;Saudade da Bahia;Manha de Carnaval;Bento Chaves;;
100678;ac0b930d;Brian Joens;Hometown Planet;folk;Folk;ID3G: 80;;Back in Iowa;Sentimental Alice;My God;Slow Drive;Road Crew Girl;This Old Town;Her Heart;Sympathy for the Devil;Poetry;Dreamland Trailorpark;Small Town News;The Grove;Travel Light;
100679;ac0b950d;³¶¸¸ÀÇ Åë±âÅ¸;¹Ì»ç¸®æÇÊ°1;folk;Folk;;2001;Çàº¹ÀÇ ³ª¶ó·Î;±âÅ¸ÇÏ³ª µ¿ÀüÇÑ´Ø;²ÞÀÇ ´ëÈ­;¸ñÈ­¹ç;±×¸®¿ò¸¸ ½×ÀÌ³×;¿¬ÀÎÀÌ¿©;»ê»ç¶÷;»ïÆ÷·Î °¡´Â ±æ;ÇÏ¾á ³ªºñ;¹°¾È°³;¼Ö°³;¾îµð¼­ ¹«¾ùÀÌ µÇ¾î ´Ù½Ã ¸¸³ª·ª;»ç¶ûÀ¸·Î;
100680;ac0ba00d;Bill McGarvey;Tell Your Mother;folk;Folk;;2003;Stay;Tell Your Mother;5 O'Clock Hero;Now;Jericho Smile;Look What You've Done To Me;Settle Down (Ballad of the Cornfed Beauty);You Do It All Yourself;Hang On;That's What You Get;Standing Next To Gloria Steinman;Outside The Lines;I Hear Voices;
